name,online_order,book_table,rate,votes,location,rest_type,cost2plates,category,grouped_cuisines
smack,No,No,3.7,0,Koramangala 1st Block,Quick Bites,200.0,Dine-out,Fast Food & Street Food
aalishan restaurant & caterer,Yes,No,3.5,41,Koramangala 7th Block,Casual Dining,650.0,Delivery,North Indian Cuisine
royale dine,Yes,No,3.5,16,Sarjapur Road,Casual Dining,600.0,Dine-out,North Indian Cuisine
new select hotel,No,No,3.4,5,Richmond Road,Quick Bites,200.0,Dine-out,South Indian Cuisine
copacabana pub,No,No,3.7,0,Ulsoor,Others,400.0,Dine-out,North Indian Cuisine
t-hut cafe,Yes,No,3.6,21,Banaswadi,Quick Bites,300.0,Dine-out,Asian Cuisine
milkyway ice creams,Yes,No,3.7,25,Bellandur,Food Court,300.0,Desserts,Desserts & Beverages
khazana food paradise,No,No,4.1,362,Richmond Road,Quick Bites,400.0,Dine-out,North Indian Cuisine
mini forest,No,No,3.3,6,JP Nagar,Quick Bites,500.0,Desserts,Fast Food & Street Food
red onion,Yes,Yes,4.3,41,Shanti Nagar,Casual Dining,400.0,Delivery,North Indian Cuisine
the magic chef,No,No,3.7,28,Electronic City,Quick Bites,300.0,Dine-out,North Indian Cuisine
chun li,Yes,No,3.7,0,Koramangala 6th Block,Quick Bites,300.0,Dine-out,Asian Cuisine
jhanhavi restaurant,Yes,No,3.1,105,Marathahalli,Quick Bites,400.0,Delivery,North Indian Cuisine
haveli,Yes,No,3.7,61,Marathahalli,Casual Dining,700.0,Delivery,North Indian Cuisine
ootada mane,Yes,No,2.9,67,Yeshwantpur,Casual Dining,600.0,Delivery,North Indian Cuisine
ramji chaiwale,Yes,No,3.8,94,Koramangala 1st Block,Quick Bites,250.0,Dine-out,Fast Food & Street Food
tandoor nation,Yes,No,3.0,39,BTM,Quick Bites,400.0,Delivery,North Indian Cuisine
sweet chariot,Yes,No,3.8,111,Cunningham Road,Dessert Parlor,500.0,Delivery,Fast Food & Street Food
slv kabab centre,Yes,No,3.7,5,Bannerghatta Road,Quick Bites,300.0,Dine-out,North Indian Cuisine
adukkala restaurant,Yes,No,3.2,123,Banaswadi,Casual Dining,600.0,Delivery,South Indian Cuisine
hoppipola,No,No,4.3,41,Church Street,Others,400.0,Dine-out,Western Cuisine
gopal kabab centre,No,No,3.4,4,JP Nagar,Quick Bites,350.0,Dine-out,North Indian Cuisine
mahjong room - welcomhotel bengaluru,No,Yes,4.6,116,Richmond Road,Casual Dining,400.0,Dine-out,Asian Cuisine
bazaar- zone by the park,No,Yes,3.8,52,Infantry Road,Casual Dining,1100.0,Buffet,North Indian Cuisine
restro cafe,Yes,No,3.8,30,Jayanagar,Cafe,400.0,Dine-out,Fusion & Miscellaneous
hotel masthi kabab,No,No,3.1,9,Bellandur,Quick Bites,300.0,Dine-out,North Indian Cuisine
chai galli,Yes,No,4.3,480,Koramangala 5th Block,Cafe,450.0,Delivery,Fusion/Contemporary Indian Cuisine
based on a true story- bistro,Yes,Yes,4.3,41,Kammanahalli,Others,800.0,Delivery,Western Cuisine
jw kitchen - jw marriott bengaluru,No,Yes,4.4,41,Lavelle Road,Others,400.0,Buffet,North Indian Cuisine
rizq restaurant,No,No,3.7,0,Richmond Road,Quick Bites,150.0,Dine-out,Mughlai & Hyderabadi Cuisine
peace restaurant,Yes,No,3.9,41,Koramangala 5th Block,Casual Dining,500.0,Dine-out,North Indian Cuisine
rimo,Yes,No,3.9,44,Koramangala 5th Block,Quick Bites,500.0,Dine-out,Asian Cuisine
oveanly,No,No,3.7,0,BTM,Delivery,200.0,Delivery,Fusion & Miscellaneous
ocean,Yes,No,3.8,213,Koramangala 6th Block,Casual Dining,700.0,Delivery,Asian Cuisine
cream chemistry,Yes,No,3.9,149,Frazer Town,Dessert Parlor,500.0,Delivery,Desserts & Beverages
agnihotri cuisines,No,No,3.7,0,MG Road,"Takeaway, Delivery",500.0,Delivery,North Indian Cuisine
caramel shake,Yes,No,3.7,0,BTM,Beverage Shop,200.0,Delivery,Desserts & Beverages
rasovara,Yes,Yes,4.3,41,Lavelle Road,Casual Dining,400.0,Delivery,North Indian Cuisine
kalmane koffees,No,No,3.6,46,Brigade Road,Cafe,350.0,Cafes,Fusion & Miscellaneous
hanumanthanagar biryani junction,No,No,3.5,17,Banashankari,Quick Bites,300.0,Dine-out,South Indian Cuisine
cafe centralis,Yes,No,2.8,114,New BEL Road,Cafe,600.0,Delivery,Fusion & Miscellaneous
homemade,No,No,3.7,0,Koramangala 1st Block,"Takeaway, Delivery",450.0,Delivery,North Indian Cuisine
naani'z biryani,No,No,3.3,6,Koramangala 1st Block,Quick Bites,300.0,Delivery,Mughlai & Hyderabadi Cuisine
ross kitchen,Yes,No,3.6,24,BTM,"Takeaway, Delivery",400.0,Delivery,North Indian Cuisine
smoke house deli,Yes,Yes,4.6,41,Indiranagar,Casual Dining,400.0,Dine-out,Western Cuisine
hotel paradise,No,No,3.3,5,Jayanagar,Quick Bites,200.0,Dine-out,Fast Food & Street Food
red stone kitchen,Yes,No,3.8,91,Marathahalli,Casual Dining,750.0,Delivery,North Indian Cuisine
vov shawarma,Yes,No,3.2,6,Electronic City,Quick Bites,200.0,Delivery,Fast Food & Street Food
paratha singh pakora king,Yes,No,3.7,36,Koramangala 6th Block,Quick Bites,300.0,Delivery,North Indian Cuisine
bangarpet chats adda,Yes,No,3.7,0,Electronic City,Quick Bites,200.0,Delivery,Fusion/Contemporary Indian Cuisine
aromas of south,No,No,3.7,46,Race Course Road,Casual Dining,1000.0,Delivery,South Indian Cuisine
uday sweets,Yes,No,3.5,34,Koramangala 6th Block,Others,250.0,Delivery,Fast Food & Street Food
shree nandini andhra mess,No,No,3.3,5,Koramangala 5th Block,Others,150.0,Dine-out,South Indian Cuisine
cheesy bites,Yes,No,3.7,0,New BEL Road,Quick Bites,200.0,Delivery,Asian Cuisine
banjara melting pot,Yes,Yes,4.2,474,Cunningham Road,Casual Dining,400.0,Dine-out,North Indian Cuisine
karahi kitchen,Yes,No,4.0,165,Koramangala 5th Block,Delivery,300.0,Delivery,South Indian Cuisine
tree top,Yes,No,3.8,75,Wilson Garden,Casual Dining,1000.0,Delivery,North Indian Cuisine
kumarakom,Yes,Yes,3.8,41,HSR,Casual Dining,600.0,Delivery,North Indian Cuisine
akshaya grand,Yes,No,3.4,29,BTM,Casual Dining,750.0,Delivery,North Indian Cuisine
levitate brewery and kitchen,No,Yes,3.7,0,JP Nagar,Others,400.0,Dine-out,North Indian Cuisine
the bar therapy,No,No,3.7,0,Koramangala 1st Block,Bar,800.0,Pubs and bars,Asian Cuisine
shahi family restaurant,Yes,No,3.4,69,Ulsoor,Quick Bites,350.0,Dine-out,North Indian Cuisine
tongue twisters,Yes,No,3.5,283,BTM,Quick Bites,350.0,Delivery,North Indian Cuisine
hotel vinitha,No,No,3.2,5,Shivajinagar,Quick Bites,150.0,Dine-out,North Indian Cuisine
snack'ups,Yes,No,3.5,62,Thippasandra,Quick Bites,250.0,Dine-out,Fast Food & Street Food
tangerine - davanam sarovar portico suites,Yes,Yes,4.0,150,Koramangala 2nd Block,Casual Dining,1100.0,Delivery,North Indian Cuisine
downtown,No,No,3.7,294,Residency Road,Others,1000.0,Drinks & nightlife,North Indian Cuisine
bun maska chai,Yes,No,3.9,120,Jeevan Bhima Nagar,Quick Bites,250.0,Dine-out,Fusion/Contemporary Indian Cuisine
jimi's beer cafe,No,No,3.8,41,Koramangala 6th Block,Others,400.0,Dine-out,North Indian Cuisine
bao & grills,No,No,3.7,0,Bannerghatta Road,Food Court,300.0,Dine-out,Asian Cuisine
madurai canteen,Yes,No,2.9,38,Nagawara,Quick Bites,200.0,Delivery,South Indian Cuisine
half girlfriend,Yes,No,3.7,0,Electronic City,Quick Bites,600.0,Dine-out,North Indian Cuisine
kerala tiffin,Yes,No,3.9,162,Whitefield,Delivery,300.0,Delivery,South Indian Cuisine
24 carats - the capitol,No,No,3.1,46,Cunningham Road,Casual Dining,1000.0,Buffet,Asian Cuisine
crunch pizzas - express delivery,Yes,No,3.0,239,Indiranagar,Delivery,500.0,Delivery,Western Cuisine
doner bel,No,No,3.6,17,Kammanahalli,Quick Bites,400.0,Delivery,Asian Cuisine
barbeque station,Yes,No,2.8,152,Koramangala 7th Block,Casual Dining,700.0,Delivery,North Indian Cuisine
chai point,Yes,No,4.0,132,Residency Road,Others,250.0,Dine-out,Fast Food & Street Food
biggies burger 'n' more,Yes,No,3.9,176,Electronic City,Quick Bites,650.0,Delivery,Fast Food & Street Food
the chef restaurant,No,No,3.7,0,BTM,Casual Dining,600.0,Delivery,North Indian Cuisine
hotel rangoon,Yes,No,3.7,17,Ulsoor,Quick Bites,300.0,Delivery,Fusion & Miscellaneous
khan saheb grills and rolls,Yes,No,3.2,135,Sarjapur Road,Quick Bites,400.0,Delivery,Mughlai & Hyderabadi Cuisine
allana kabab,No,No,3.3,4,Richmond Road,Quick Bites,200.0,Dine-out,North Indian Cuisine
reddy's paradise,Yes,No,3.1,46,HSR,Casual Dining,700.0,Delivery,South Indian Cuisine
fava bistro,Yes,Yes,4.4,389,Koramangala 5th Block,"Casual Dining, Bar",400.0,Dine-out,Western Cuisine
oregano soul food,Yes,No,4.0,158,Whitefield,Cafe,700.0,Cafes,Fusion & Miscellaneous
pasta street,Yes,Yes,4.5,41,Cunningham Road,Casual Dining,400.0,Delivery,Western Cuisine
zaiqa,No,No,3.4,8,Richmond Road,Quick Bites,350.0,Dine-out,North Indian Cuisine
leon grill,Yes,No,4.0,334,New BEL Road,Quick Bites,500.0,Delivery,Fast Food & Street Food
cafe choco craze,No,No,3.7,9,Bannerghatta Road,Cafe,400.0,Dine-out,Fast Food & Street Food
vms star biriyani,No,No,3.8,47,Electronic City,Casual Dining,500.0,Dine-out,Mughlai & Hyderabadi Cuisine
the fisherman's wharf,Yes,Yes,4.3,41,Sarjapur Road,"Casual Dining, Bar",400.0,Dine-out,North Indian Cuisine
baker's glove,Yes,No,3.4,8,Jayanagar,Others,550.0,Delivery,Desserts & Beverages
new udupi grand,Yes,No,3.5,47,JP Nagar,Quick Bites,300.0,Delivery,North Indian Cuisine
indian paratha company,No,No,3.5,28,Marathahalli,Casual Dining,500.0,Dine-out,North Indian Cuisine
chocolat boulangerie patisserie,No,No,4.1,445,Koramangala 4th Block,Dessert Parlor,400.0,Desserts,Western Cuisine
royale biryani,No,No,3.7,0,Koramangala 1st Block,"Takeaway, Delivery",500.0,Delivery,Mughlai & Hyderabadi Cuisine
barbeque nation,No,Yes,4.7,41,Indiranagar,Casual Dining,400.0,Buffet,North Indian Cuisine
pakiza dilli darbar restaurant,Yes,No,3.2,13,BTM,Quick Bites,300.0,Dine-out,Mughlai & Hyderabadi Cuisine
firangi bake,Yes,No,3.9,76,Others,Delivery,600.0,Delivery,Western Cuisine
book my cakes,Yes,No,3.3,4,Old Airport Road,Bakery,300.0,Desserts,Fusion & Miscellaneous
sri sai fast food,No,No,3.7,0,New BEL Road,Quick Bites,100.0,Delivery,South Indian Cuisine
multi snacky hub,No,No,3.7,0,Basavanagudi,Quick Bites,200.0,Delivery,Fast Food & Street Food
stoned monkey,Yes,No,4.1,41,Koramangala 6th Block,Dessert Parlor,500.0,Desserts,Desserts & Beverages
foxtrot - house of subculture,No,Yes,4.4,369,Koramangala 3rd Block,Others,1000.0,Buffet,North Indian Cuisine
mughlai kitchen,Yes,No,3.7,0,Electronic City,Quick Bites,600.0,Dine-out,North Indian Cuisine
new ambur special dum biryani,No,No,3.7,0,Malleshwaram,Quick Bites,250.0,Dine-out,Mughlai & Hyderabadi Cuisine
didi's kitchen,Yes,No,3.1,8,Nagawara,Delivery,400.0,Delivery,North Indian Cuisine
cafe mist,Yes,No,3.8,187,JP Nagar,Cafe,500.0,Delivery,Western Cuisine
trigereato,Yes,Yes,4.4,102,Koramangala 8th Block,Cafe,700.0,Dine-out,Western Cuisine
empire restaurant,Yes,No,4.0,88,HSR,"Takeaway, Delivery",400.0,Delivery,North Indian Cuisine
srushti coffee,Yes,No,3.4,9,Malleshwaram,Quick Bites,300.0,Delivery,South Indian Cuisine
jfd cafe,No,No,3.7,0,Electronic City,Cafe,400.0,Delivery,Fast Food & Street Food
monsoon express,Yes,No,3.4,7,MG Road,"Takeaway, Delivery",400.0,Delivery,North Indian Cuisine
japan travel cafe azuki,No,No,4.3,73,Residency Road,Cafe,400.0,Cafes,Asian Cuisine
amber rush restobar,No,Yes,4.1,93,Residency Road,Others,1000.0,Pubs and bars,Asian Cuisine
hotel arogya,No,No,3.7,0,HSR,Quick Bites,400.0,Delivery,North Indian Cuisine
bharat kitchen,Yes,No,3.7,21,Koramangala 1st Block,Quick Bites,300.0,Delivery,North Indian Cuisine
the beer cafe,Yes,Yes,4.2,41,Koramangala 4th Block,Others,400.0,Dine-out,Asian Cuisine
sri laxmi venkateshwara coffee bar,No,No,4.4,343,Banashankari,Quick Bites,100.0,Dine-out,South Indian Cuisine
cafe grill,Yes,No,4.1,41,Jeevan Bhima Nagar,Quick Bites,300.0,Delivery,North Indian Cuisine
gelato italiano,Yes,No,3.9,110,Koramangala 5th Block,Dessert Parlor,200.0,Desserts,Desserts & Beverages
pinxx - royal orchid central,Yes,Yes,3.8,200,MG Road,Casual Dining,400.0,Dine-out,Western Cuisine
smack cafe,Yes,No,3.3,4,Koramangala 1st Block,Cafe,400.0,Delivery,Fusion & Miscellaneous
bombay kulfis,No,No,3.7,0,Whitefield,Dessert Parlor,200.0,Desserts,Desserts & Beverages
goli vada pav no.1,No,No,3.4,7,MG Road,Quick Bites,200.0,Dine-out,Fusion/Contemporary Indian Cuisine
tunday kababi,Yes,No,3.8,41,Indiranagar,Casual Dining,500.0,Dine-out,North Indian Cuisine
rishab bhawan,No,No,3.7,0,Jayanagar,Quick Bites,150.0,Delivery,Fusion/Contemporary Indian Cuisine
karavali kolimane,Yes,No,3.7,28,Wilson Garden,Quick Bites,350.0,Delivery,North Indian Cuisine
kargeens,Yes,No,4.1,41,Koramangala 6th Block,Cafe,600.0,Delivery,Western Cuisine
carlos cake cafe,Yes,No,3.3,7,Marathahalli,Bakery,300.0,Delivery,Desserts & Beverages
shake n snack,No,No,3.6,18,Shanti Nagar,Beverage Shop,200.0,Delivery,Fast Food & Street Food
darbar,No,No,3.0,98,Banashankari,Bar,800.0,Delivery,North Indian Cuisine
andhra mess,Yes,No,3.2,128,Domlur,Others,400.0,Delivery,South Indian Cuisine
onesta,Yes,Yes,4.4,41,New BEL Road,Others,600.0,Dine-out,Western Cuisine
foodu paddu,No,No,3.7,0,Brookefield,Quick Bites,200.0,Dine-out,Fast Food & Street Food
cravingz,Yes,No,3.7,17,Whitefield,Others,400.0,Delivery,Fast Food & Street Food
paratha junction,Yes,No,3.3,397,Jayanagar,Quick Bites,300.0,Delivery,North Indian Cuisine
mughal samraj,Yes,No,3.2,4,Bellandur,Casual Dining,600.0,Delivery,Fast Food & Street Food
manjushree upahara,Yes,No,3.8,32,Bannerghatta Road,Quick Bites,150.0,Delivery,South Indian Cuisine
cafe terra,Yes,No,3.7,0,Jayanagar,Cafe,700.0,Dine-out,Western Cuisine
h3o,No,No,3.3,4,Koramangala 4th Block,Bar,1000.0,Dine-out,North Indian Cuisine
cup shup,No,No,2.8,185,Indiranagar,Cafe,500.0,Delivery,Western Cuisine
china down town,Yes,No,3.5,5,Koramangala 4th Block,Casual Dining,800.0,Delivery,Asian Cuisine
khan saheb grills and rolls,Yes,No,3.8,63,Hosur Road,Quick Bites,350.0,Dine-out,Fast Food & Street Food
priya's punjabi,No,No,3.8,33,Koramangala 8th Block,Casual Dining,555.4,Dine-out,North Indian Cuisine
soda bottle opener wala,Yes,Yes,4.4,41,Lavelle Road,Others,400.0,Delivery,North Indian Cuisine
northern route,Yes,No,4.1,159,St. Marks Road,Quick Bites,300.0,Dine-out,North Indian Cuisine
imperial restaurant,Yes,No,3.7,264,Others,Casual Dining,750.0,Dine-out,North Indian Cuisine
shiv sagar,No,No,2.9,85,Bannerghatta Road,Quick Bites,250.0,Delivery,South Indian Cuisine
goli vada pav no. 1,Yes,No,3.7,91,Kalyan Nagar,Quick Bites,200.0,Delivery,Fusion/Contemporary Indian Cuisine
harry's bar + cafe,Yes,Yes,4.2,41,Koramangala 7th Block,"Casual Dining, Bar",400.0,Delivery,Asian Cuisine
tea break lounge,Yes,No,3.3,5,Brigade Road,Quick Bites,400.0,Delivery,Fast Food & Street Food
de grand restaurant,Yes,No,3.8,257,Banaswadi,Quick Bites,600.0,Delivery,North Indian Cuisine
make it roll,Yes,No,3.8,33,HSR,Quick Bites,400.0,Delivery,Fast Food & Street Food
the monalisa restaurant,Yes,No,3.3,4,Koramangala 5th Block,Quick Bites,300.0,Dine-out,Asian Cuisine
the waffles hut,Yes,No,3.8,23,Koramangala 5th Block,Dessert Parlor,400.0,Desserts,Desserts & Beverages
@ the bbq,Yes,Yes,3.8,32,Bellandur,Casual Dining,700.0,Dine-out,North Indian Cuisine
the yogisthaan cafe,Yes,No,4.2,41,Indiranagar,Cafe,600.0,Delivery,Desserts & Beverages
dhabeliwala,Yes,No,3.8,44,JP Nagar,Others,250.0,Delivery,West Indian Cuisine
kettle & kegs,Yes,No,2.9,9,Kammanahalli,Delivery,200.0,Delivery,Desserts & Beverages
little kolkata,Yes,No,3.9,97,Ejipura,Quick Bites,500.0,Delivery,North Indian Cuisine
rolls & co,Yes,No,3.9,213,Koramangala 6th Block,Quick Bites,400.0,Dine-out,Fast Food & Street Food
30 square,Yes,No,4.2,41,Koramangala 5th Block,Quick Bites,400.0,Dine-out,Asian Cuisine
hatti punjab di,Yes,No,3.9,226,Koramangala 1st Block,"Takeaway, Delivery",250.0,Delivery,North Indian Cuisine
bawarchi paradise,Yes,No,3.5,89,Bannerghatta Road,Quick Bites,500.0,Delivery,North Indian Cuisine
thalassery cafe,No,No,3.4,7,BTM,Quick Bites,150.0,Dine-out,Fusion/Contemporary Indian Cuisine
udupa fast food,No,No,3.3,4,Rajajinagar,Quick Bites,400.0,Dine-out,South Indian Cuisine
jamaycafe,No,No,2.8,16,Kalyan Nagar,Cafe,600.0,Cafes,Fusion & Miscellaneous
asia kitchen by mainland china,Yes,Yes,4.9,41,Koramangala 5th Block,"Casual Dining, Bar",400.0,Pubs and bars,Asian Cuisine
harilal ka bihari dhaba,Yes,No,3.7,0,Koramangala 1st Block,Others,250.0,Delivery,North Indian Cuisine
sri pillaiyar bhavan,Yes,No,4.0,117,Electronic City,Quick Bites,300.0,Delivery,Fusion & Miscellaneous
halli mane,Yes,No,4.0,41,Malleshwaram,Quick Bites,250.0,Delivery,North Indian Cuisine
cream & fudge,Yes,No,3.3,4,Malleshwaram,Dessert Parlor,250.0,Delivery,Desserts & Beverages
sethi's,Yes,No,3.7,0,JP Nagar,Delivery,600.0,Delivery,North Indian Cuisine
cafe 22,No,No,3.0,11,Church Street,Cafe,700.0,Dine-out,Fast Food & Street Food
the asian curry house,Yes,No,4.5,41,Malleshwaram,Casual Dining,1000.0,Delivery,Asian Cuisine
mr. parathewala,Yes,No,3.7,0,Jayanagar,"Takeaway, Delivery",300.0,Delivery,North Indian Cuisine
